Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-05-02,20.328602293556838,20.328602293556838,20.237479287181134,20.254047393798828,3700,0.0,0
2011-05-03,20.212629520976254,20.212629520976254,20.113224029541016,20.113224029541016,4100,0.0,0
2011-05-04,20.13807195364936,20.13807195364936,20.055233001708984,20.055233001708984,5800,0.0,0
2011-05-05,20.055232752105905,20.146355756108377,19.964111328125,19.964111328125,6100,0.0,0
2011-05-06,20.096653267689966,20.129787900453163,20.013814315749592,20.055233001708984,55000,0.0,0
2011-05-09,20.080087661743164,20.12150793288195,20.046953024853924,20.080087661743164,4300,0.0,0
2011-05-10,20.113220481716215,20.138071060180664,20.113220481716215,20.138071060180664,3600,0.0,0
2011-05-11,19.95583391431986,19.99725261354373,19.88127899169922,19.88127899169922,1200,0.0,0
2011-05-12,19.914411779805558,20.00553321838379,19.914411779805558,20.00553321838379,800,0.0,0
2011-05-13,20.046950563352016,20.046950563352016,19.8895567123941,19.922691345214844,4500,0.0,0
2011-05-16,19.980679717688936,20.063517089751592,19.922691345214844,19.922691345214844,3500,0.0,0
2011-05-17,19.88127899169922,19.88127899169922,19.88127899169922,19.88127899169922,300,0.0,0
2011-05-18,19.964115403828185,19.997250042943477,19.964115403828185,19.98896598815918,1600,0.0,0
2011-05-19,20.005531290329607,20.088370246525802,20.005531290329607,20.071802139282227,5500,0.0,0
2011-05-20,20.096656828359,20.096656828359,19.96411511377967,20.030385971069336,3200,0.0,0
2011-05-24,19.8647019645483,19.872986016679537,19.765296499016223,19.77358055114746,2600,0.0,0
2011-05-25,19.6907538369024,19.82329559326172,19.6907538369024,19.82329559326172,3500,0.0,0
2011-05-26,19.939258294700018,19.997245083787945,19.939258294700018,19.98067855834961,1400,0.0,0
2011-05-27,20.080087661743164,20.080087661743164,20.080087661743164,20.080087661743164,300,0.0,0
2011-05-30,20.19605800663575,20.19605800663575,20.0800844261779,20.171207427978516,1200,0.0,0
2011-05-31,20.09665445339512,20.104938507080078,20.03038360393715,20.104938507080078,1400,0.0,0
2011-06-01,20.121511871259525,20.121511871259525,19.88127899169922,19.88127899169922,10400,0.0,0
2011-06-02,19.955828151357263,19.955828151357263,19.856421089896408,19.94754409790039,2700,0.0,0
2011-06-03,19.88127899169922,19.88127899169922,19.88127899169922,19.88127899169922,1500,0.0,0
2011-06-06,19.889559131245278,19.889559131245278,19.707314678513704,19.71559715270996,3400,0.0,0
2011-06-07,19.715597769512648,19.732165878467065,19.674179077148438,19.674179077148438,3500,0.0,0
2011-06-08,19.64103889465332,19.64103889465332,19.64103889465332,19.64103889465332,500,0.0,0
2011-06-09,19.59961907024882,19.632755279541016,19.59961907024882,19.632755279541016,3200,0.0,0
2011-06-10,19.367673873901367,19.367673873901367,19.367673873901367,19.367673873901367,500,0.0,0
2011-06-13,19.41737513911351,19.4256591916413,19.33453619385705,19.35938835144043,2700,0.0,0
2011-06-14,19.467080457394367,19.508499145507812,19.467080457394367,19.508499145507812,300,0.0,0
2011-06-15,19.293122686534236,19.31797327076221,19.20199966430664,19.20199966430664,17100,0.0,0
2011-06-16,19.276556751097697,19.3511116722339,19.226852416992188,19.226852416992188,68500,0.0,0
2011-06-17,19.409097084086053,19.409097084086053,19.36767680864804,19.384244918823242,12200,0.0,0
2011-06-20,19.21027986979612,19.359389665373623,19.21027986979612,19.334537506103516,3300,0.0,0
2011-06-21,19.400811068505583,19.51678466796875,19.400811068505583,19.51678466796875,2400,0.0,0
2011-06-22,19.508498900633974,19.508498900633974,19.417377471923828,19.417377471923828,82500,0.0,0
2011-06-23,19.24342052836069,19.24342052836069,19.193717774277243,19.226852416992188,2900,0.0,0
2011-06-24,19.436861167463526,19.436861167463526,19.32808907579331,19.35318946838379,11500,0.231,0
2011-06-27,19.428499840906888,19.453601837158203,19.41176677264476,19.453601837158203,6100,0.0,0
2011-06-28,19.545636162309368,19.59583854675293,19.545636162309368,19.59583854675293,1900,0.0,0
2011-06-29,19.662778024936348,19.662778024936348,19.59584097209192,19.629308700561523,12000,0.0,0
2011-06-30,19.662776461885276,19.821752548217773,19.662776461885276,19.821752548217773,7600,0.0,0
2011-07-04,20.056028702478063,20.056028702478063,19.980724334716797,19.980724334716797,1200,0.0,0
2011-07-05,19.913788676101387,19.95562532548149,19.913788676101387,19.94725799560547,12900,0.0,0
2011-07-06,19.88032243894506,19.938892156551447,19.88032243894506,19.930524826049805,16400,0.0,0
2011-07-07,19.97236133956207,20.039298387204255,19.930524687345017,20.014196395874023,2300,0.0,0
2011-07-08,19.821756670322415,19.880326399597337,19.821756670322415,19.84685707092285,42500,0.0,0
2011-07-11,19.67951101699621,19.67951101699621,19.537269592285156,19.537269592285156,5000,0.0,0
2011-07-12,19.43686294555664,19.53726931281853,19.43686294555664,19.43686294555664,12800,0.0,0
2011-07-13,19.47033330710632,19.56237075311771,19.47033330710632,19.478700637817383,51700,0.0,0
2011-07-14,19.487068881570806,19.495434616768687,19.33646011352539,19.33646011352539,12300,0.0,0
2011-07-15,19.369927152577212,19.369927152577212,19.219318389892578,19.219318389892578,5100,0.0,0
2011-07-18,19.202587127685547,19.25278952132702,19.202587127685547,19.202587127685547,900,0.0,0
2011-07-19,19.118914024804383,19.236053466796875,19.118914024804383,19.236053466796875,6500,0.0,0
2011-07-20,19.236053466796875,19.236053466796875,19.236053466796875,19.236053466796875,0,0.0,0
2011-07-21,19.38666114714337,19.56237030029297,19.38666114714337,19.56237030029297,40500,0.0,0
2011-07-22,19.662777880098524,19.712980270385742,19.63767588700231,19.712980270385742,4500,0.0,0
2011-07-25,19.470334652388445,19.545639038085938,19.470334652388445,19.545639038085938,2200,0.0,0
2011-07-26,19.51216760113435,19.537269592285156,19.503800270750748,19.537269592285156,1400,0.0,0
2011-07-27,19.26115622962749,19.26115622962749,19.1774845123291,19.1774845123291,4700,0.0,0
2011-07-28,19.144016678828674,19.24442306659187,19.144016678828674,19.160751342773438,2700,0.0,0
2011-07-29,19.093808266041417,19.244417002273558,19.093808266041417,19.135644912719727,96400,0.0,0
2011-08-02,18.959933665944956,18.993402982365193,18.658716201782227,18.658716201782227,6100,0.0,0
2011-08-03,18.658716201782227,18.658716201782227,18.658716201782227,18.658716201782227,2000,0.0,0
2011-08-04,18.51647831998106,18.51647831998106,18.19016040235395,18.265464782714844,21700,0.0,0
2011-08-05,18.19852205764416,18.26545908643379,17.888937302051705,17.989343643188477,8600,0.0,0
2011-08-08,17.75507057572641,17.75507057572641,17.135902404785156,17.135902404785156,13400,0.0,0
2011-08-09,17.56262446279575,17.671398162841797,17.110799789411313,17.671398162841797,56600,0.0,0
2011-08-10,17.596091371934886,17.596091371934886,17.194467544555664,17.194467544555664,16000,0.0,0
2011-08-11,17.27814204649348,17.880577087402344,17.27814204649348,17.880577087402344,15900,0.0,0
2011-08-12,17.997714863105717,18.08138656616211,17.997714863105717,18.08138656616211,3100,0.0,0
2011-08-15,18.139957290085093,18.24872939298447,18.139957290085093,18.223628997802734,4200,0.0,0
2011-08-16,18.106488036552665,18.148324688520958,18.031183658914834,18.04791831970215,22700,0.0,0
2011-08-17,18.198531178905867,18.257100908964368,18.14832878112793,18.14832878112793,1900,0.0,0
2011-08-18,17.570984201023418,17.570984201023418,17.49567985534668,17.49567985534668,2500,0.0,0
2011-08-19,17.269769252791843,17.412010637354378,17.152629852294922,17.152629852294922,5800,0.0,0
