Date,Return
2011-06-09,1387038.1546020508
2011-06-10,1372895.2026367188
2011-06-13,1370598.1063842773
2011-06-14,1362200.2792358398
2011-06-15,1335679.3785095215
2011-06-16,1342120.7237243652
2011-06-17,1330329.2846679688
2011-06-20,1332860.4888916016
2011-06-21,1324045.6581115723
2011-06-22,1335915.6608581543
2011-06-23,1339193.0770874023
2011-06-24,1345153.5034179688
2011-06-27,1343875.1602172852
2011-06-28,1346744.8425292969
2011-06-29,1347580.4901123047
2011-06-30,1345786.7622375488
2011-07-01,1327341.1560058594
2011-07-05,1321356.0104370117
2011-07-06,1321172.6760864258
2011-07-07,1326311.4166259766
2011-07-08,1325517.5399780273
2011-07-11,1335425.910949707
2011-07-12,1327431.3354492188
2011-07-13,1341928.8635253906
2011-07-14,1317882.7285766602
2011-07-15,1315699.3675231934
2011-07-18,1301367.7215576172
2011-07-19,1322612.7433776855
2011-07-20,1318566.951751709
2011-07-21,1288913.9938354492
2011-07-22,1296259.0217590332
2011-07-25,1269847.583770752
2011-07-26,1267975.13961792
2011-07-27,1266551.570892334
2011-07-28,1276142.0631408691
2011-07-29,1287766.7808532715
2011-08-01,1282723.9036560059
2011-08-02,1272155.418395996
2011-08-03,1286562.1948242188
2011-08-04,1263288.6123657227
2011-08-05,1290360.3172302246
2011-08-08,1269563.2934570312
2011-08-09,1287224.3118286133
2011-08-10,1254149.0364074707
2011-08-11,1278203.6209106445
2011-08-12,1275081.0241699219
2011-08-15,1289664.0014648438
2011-08-16,1292246.150970459
2011-08-17,1300731.8878173828
2011-08-18,1283445.6062316895
2011-08-19,1271058.9027404785
2011-08-22,1277710.9909057617
2011-08-23,1298182.487487793
2011-08-24,1302579.1358947754
2011-08-25,1291237.4687194824
2011-08-26,1298323.9555358887
2011-08-29,1311147.3846435547
2011-08-30,1315119.1139221191
2011-08-31,1330383.7203979492
2011-09-01,1327255.4016113281
2011-09-02,1319580.9936523438
2011-09-06,1316159.9159240723
2011-09-07,1310781.3835144043
2011-09-08,1309450.2449035645
2011-09-09,1291835.4797363281
2011-09-12,1283073.9402770996
2011-09-13,1287669.448852539
2011-09-14,1298764.934539795
2011-09-15,1312756.9580078125
2011-09-16,1307486.1526489258
